,Type,variable,value,ContS
1,PHS4D,No Intervention,0.1408,1% Cluster
2,PHS4H,No Intervention,0.0544,1% Cluster
3,PHSInt,No Intervention,0.1344,1% Cluster
4,HS,No Intervention,0.0435,1% Cluster
5,RS,No Intervention,0.0549,1% Cluster
6,FPS,No Intervention,0.0695,1% Cluster
7,CS,No Intervention,0.0373,1% Cluster
8,None,All Intervention,0.0,1% Cluster
9,PHS4D,All Intervention,0.1795,1% Cluster
10,PHS4H,All Intervention,0.0141,1% Cluster
11,PHSInt,All Intervention,0.0409,1% Cluster
12,HS,All Intervention,0.0126,1% Cluster
13,RS,All Intervention,0.015,1% Cluster
14,FPS,All Intervention,0.0001,1% Cluster
15,CS,All Intervention,0.0,1% Cluster
16,None,Washing Only,0.0,1% Cluster
17,PHS4D,Washing Only,0.1403,1% Cluster
18,PHS4H,Washing Only,0.0576,1% Cluster
19,PHSInt,Washing Only,0.1343,1% Cluster
20,HS,Washing Only,0.0459,1% Cluster
21,RS,Washing Only,0.0516,1% Cluster
22,FPS,Washing Only,0.0048,1% Cluster
23,CS,Washing Only,0.0022,1% Cluster
24,None,Prewash Only,0.0,1% Cluster
25,PHS4D,Prewash Only,0.1418,1% Cluster
26,PHS4H,Prewash Only,0.0507,1% Cluster
27,PHSInt,Prewash Only,0.132,1% Cluster
28,HS,Prewash Only,0.0476,1% Cluster
29,RS,Prewash Only,0.0567,1% Cluster
30,FPS,Prewash Only,0.0056,1% Cluster
31,CS,Prewash Only,0.0025,1% Cluster
32,None,Holding Only,0.0,1% Cluster
33,PHS4D,Holding Only,0.1874,1% Cluster
34,PHS4H,Holding Only,0.014,1% Cluster
35,PHSInt,Holding Only,0.044,1% Cluster
36,HS,Holding Only,0.0121,1% Cluster
37,RS,Holding Only,0.0168,1% Cluster
38,FPS,Holding Only,0.0166,1% Cluster
39,CS,Holding Only,0.0071,1% Cluster
40,None,Sanitation Only,0.0,1% Cluster
41,PHS4D,Sanitation Only,0.1412,1% Cluster
42,PHS4H,Sanitation Only,0.0541,1% Cluster
43,PHSInt,Sanitation Only,0.1336,1% Cluster
44,HS,Sanitation Only,0.0474,1% Cluster
45,RS,Sanitation Only,0.052,1% Cluster
46,FPS,Sanitation Only,0.0699,1% Cluster
47,CS,Sanitation Only,0.0358,1% Cluster
48,None,PreCooling Only,0.0,1% Cluster
49,PHS4D,PreCooling Only,0.1477,1% Cluster
50,PHS4H,PreCooling Only,0.0585,1% Cluster
51,PHSInt,PreCooling Only,0.1322,1% Cluster
52,HS,PreCooling Only,0.0503,1% Cluster
53,RS,PreCooling Only,0.0505,1% Cluster
54,FPS,PreCooling Only,0.0658,1% Cluster
55,CS,PreCooling Only,0.0357,1% Cluster
