,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
7,9877981.0,0.026235914999999825,0.6996395122134643,0.6231507706663859,Random Uniform Unclustered,CS,No Intervention
0,15823153.0,0.011242225000000113,1.0,1.0,1% Cluster,Baseline,No Intervention
1,15297173.0,0.010616850000000084,0.9443726664428063,0.9667588375085547,1% Cluster,PHS4D,No Intervention
2,10884525.0,0.009048535000000085,0.8048704771519868,0.6878859731685587,1% Cluster,PHS4H,No Intervention
3,5378035.0,0.006130160000000064,0.5452799601502374,0.33988390303752986,1% Cluster,PHSInt,No Intervention
4,11392586.0,0.009347750000000129,0.8314857601586906,0.7199946812117661,1% Cluster,HTrad,No Intervention
5,10419195.0,0.008924495000000098,0.7938370740667446,0.6584778014849506,1% Cluster,RSTrad,No Intervention
6,8533292.0,0.008306095000000093,0.7388301692947802,0.5392915053023882,1% Cluster,FPSTrad,No Intervention
7,10391260.0,0.009505875000000134,0.8455510363829258,0.6567123505662873,1% Cluster,CS,No Intervention
0,15841829.0,0.018881864999999946,1.0,1.0,10% Cluster,Baseline,No Intervention
1,15305237.0,0.017844414999999975,0.9450557452878742,0.9661281535105574,10% Cluster,PHS4D,No Intervention
2,8508971.0,0.012951395000000147,0.6859171485443935,0.5371204928420829,10% Cluster,PHS4H,No Intervention
3,3708065.0,0.0074807100000000805,0.3961849107596152,0.23406798545799226,10% Cluster,PHSInt,No Intervention
4,8675611.0,0.013429525000000157,0.7112393293776963,0.5476394802645579,10% Cluster,HTrad,No Intervention
5,8126334.0,0.012496010000000148,0.661799562702105,0.5129669055258708,10% Cluster,RSTrad,No Intervention
6,8122345.0,0.01247977500000012,0.6609397429756094,0.512715103792624,10% Cluster,FPSTrad,No Intervention
7,9724127.0,0.015102680000000044,0.7998510740332105,0.6138260298100681,10% Cluster,CS,No Intervention
0,118506.0,0.0004112150000000052,1.0,1.0,Random Uniform Unclustered,Baseline,No Washing
1,100197.0,0.0003459500000000033,0.841287404399156,0.845501493595261,Random Uniform Unclustered,PHS4D,No Washing
2,106996.0,0.0003691750000000049,0.8977663752538215,0.9028741160785108,Random Uniform Unclustered,PHS4H,No Washing
3,88194.0,0.0003049750000000063,0.7416436657223167,0.7442154827603665,Random Uniform Unclustered,PHSInt,No Washing
4,111659.0,0.00038440000000000566,0.9347908028646834,0.9422223347341063,Random Uniform Unclustered,HTrad,No Washing
5,106815.0,0.00036987500000000475,0.8994686477876539,0.901346767252291,Random Uniform Unclustered,RSTrad,No Washing
6,116330.0,0.00040520500000000543,0.9853847743880946,0.9816380605201425,Random Uniform Unclustered,FPSTrad,No Washing
7,118416.0,0.0004103400000000045,0.9978721593327075,0.9992405447825427,Random Uniform Unclustered,CS,No Washing
0,118545.0,0.00039463000000000464,1.0,1.0,1% Cluster,Baseline,No Washing
1,107749.0,0.00035682500000000543,0.9042014038466443,0.9089290986545194,1% Cluster,PHS4D,No Washing
2,108096.0,0.0003618150000000057,0.9168461596938942,0.9118562571175503,1% Cluster,PHS4H,No Washing
3,88506.0,0.00029782000000000555,0.7546816004865369,0.7466025559913957,1% Cluster,PHSInt,No Washing
4,107857.0,0.00036144000000000605,0.9158959024909454,0.9098401450925809,1% Cluster,HTrad,No Washing
5,109166.0,0.0003642050000000063,0.9229024656006943,0.9208823653464929,1% Cluster,RSTrad,No Washing
6,117470.0,0.00039113000000000597,0.9911309327724739,0.9909317136952213,1% Cluster,FPSTrad,No Washing
7,118823.0,0.000395625000000005,1.0025213491118272,1.0023451010164917,1% Cluster,CS,No Washing
0,118464.0,0.0004039750000000054,1.0,1.0,10% Cluster,Baseline,No Washing
1,99838.0,0.0003400800000000038,0.8418342719227656,0.8427707995678012,10% Cluster,PHS4D,No Washing
2,108113.0,0.0003699500000000057,0.9157744909957318,0.9126232441923284,10% Cluster,PHS4H,No Washing
3,83592.0,0.0002844600000000058,0.704152484683463,0.7056320907617504,10% Cluster,PHSInt,No Washing
4,109715.0,0.00037222500000000543,0.921406027600719,0.9261463398163156,10% Cluster,HTrad,No Washing
5,109875.0,0.0003729900000000046,0.9232997091404161,0.927496961102107,10% Cluster,RSTrad,No Washing
6,117501.0,0.0004028350000000049,0.9971780431957411,0.9918709481361426,10% Cluster,FPSTrad,No Washing
7,118185.0,0.0004036300000000064,0.9991459867566086,0.9976448541329012,10% Cluster,CS,No Washing
0,105908.0,0.0003669750000000054,1.0,1.0,Random Uniform Unclustered,Baseline,No Prewash
1,86714.0,0.0003006350000000035,0.8192247428298907,0.818767231937153,Random Uniform Unclustered,PHS4D,No Prewash
2,92399.0,0.0003194500000000065,0.8704952653450557,0.8724458964384183,Random Uniform Unclustered,PHS4H,No Prewash
3,77191.0,0.0002655850000000062,0.7237141494652287,0.7288495675491936,Random Uniform Unclustered,PHSInt,No Prewash
4,95566.0,0.00032930000000000594,0.8973363308127287,0.9023492087472146,Random Uniform Unclustered,HTrad,No Prewash
5,93082.0,0.00032282000000000496,0.8796784522106417,0.8788948899044454,Random Uniform Unclustered,RSTrad,No Prewash
6,105700.0,0.0003663750000000046,0.9983650112405457,0.9980360312724251,Random Uniform Unclustered,FPSTrad,No Prewash
7,104450.0,0.000363735000000005,0.9911710606989568,0.9862333345922877,Random Uniform Unclustered,CS,No Prewash
0,105561.0,0.0003475600000000051,1.0,1.0,1% Cluster,Baseline,No Prewash
1,93332.0,0.00030781500000000387,0.885645643917595,0.8841522910923542,1% Cluster,PHS4D,No Prewash
2,93989.0,0.000310475000000006,0.8932989987340357,0.8903761805970007,1% Cluster,PHS4H,No Prewash
3,76093.0,0.0002542550000000062,0.7315427552077409,0.7208438722634306,1% Cluster,PHSInt,No Prewash
4,97121.0,0.0003222250000000055,0.9271061111750512,0.9200462291944942,1% Cluster,HTrad,No Prewash
5,96852.0,0.0003203500000000055,0.9217113591897824,0.9174979395799585,1% Cluster,RSTrad,No Prewash
6,103421.0,0.0003439200000000064,0.9895269881459355,0.9797273614308315,1% Cluster,FPSTrad,No Prewash
7,103172.0,0.0003421300000000056,0.9843767982506634,0.9773685357281572,1% Cluster,CS,No Prewash
0,105674.0,0.00035952500000000593,1.0,1.0,10% Cluster,Baseline,No Prewash
1,86737.0,0.0002948150000000035,0.8200125165148422,0.8207979256960085,10% Cluster,PHS4D,No Prewash
2,94312.0,0.000322650000000007,0.8974341144565793,0.892480648030736,10% Cluster,PHS4H,No Prewash
3,74854.0,0.00025793500000000454,0.7174327237327036,0.70834831652062,10% Cluster,PHSInt,No Prewash
4,96277.0,0.00032845500000000505,0.9135804186078844,0.9110755720423188,10% Cluster,HTrad,No Prewash
5,93876.0,0.00032104000000000583,0.8929559835894598,0.8883547514052652,10% Cluster,RSTrad,No Prewash
6,102960.0,0.00035189000000000585,0.9787636464779919,0.9743172398130098,10% Cluster,FPSTrad,No Prewash
7,104380.0,0.0003549100000000046,0.9871636186635109,0.9877547930427542,10% Cluster,CS,No Prewash
0,40238.0,0.0001393350000000024,1.0,1.0,Random Uniform Unclustered,Baseline,No Holding
1,38689.0,0.00013438000000000157,0.9644382244231475,0.9615040508971618,Random Uniform Unclustered,PHS4D,No Holding
2,19638.0,6.645499999999848e-05,0.4769440556930946,0.4880461255529599,Random Uniform Unclustered,PHS4H,No Holding
3,8188.0,2.8699999999999474e-05,0.20597839738758375,0.20348923902778468,Random Uniform Unclustered,PHSInt,No Holding
4,19801.0,6.836999999999838e-05,0.49068791043167337,0.4920970227148467,Random Uniform Unclustered,HTrad,No Holding
5,17300.0,6.156999999999849e-05,0.44188466645133984,0.4299418460162036,Random Uniform Unclustered,RSTrad,No Holding
6,40253.0,0.00013874000000000248,0.9957297161517215,1.0003727819474129,Random Uniform Unclustered,FPSTrad,No Holding
7,40314.0,0.0001387900000000023,0.9960885635339284,1.001888761866892,Random Uniform Unclustered,CS,No Holding
0,38815.0,0.00013080000000000174,1.0,1.0,1% Cluster,Baseline,No Holding
1,39486.0,0.00013216500000000163,1.0104357798165127,1.0172871312636866,1% Cluster,PHS4D,No Holding
2,26957.0,9.167499999999803e-05,0.700879204892942,0.6944995491433724,1% Cluster,PHS4H,No Holding
3,12563.0,4.382499999999913e-05,0.33505351681956075,0.3236635321396367,1% Cluster,PHSInt,No Holding
4,28195.0,9.486499999999802e-05,0.7252675840978345,0.7263944351410537,1% Cluster,HTrad,No Holding
5,26770.0,9.065499999999808e-05,0.6930810397553278,0.6896818240370991,1% Cluster,RSTrad,No Holding
6,39257.0,0.000132780000000002,1.0151376146789008,1.0113873502511916,1% Cluster,FPSTrad,No Holding
7,40268.0,0.00013500500000000192,1.0321483180428144,1.0374339817081026,1% Cluster,CS,No Holding
0,40425.0,0.00013786500000000212,1.0,1.0,10% Cluster,Baseline,No Holding
1,38889.0,0.00013360000000000222,0.9690639393609702,0.9620037105751391,10% Cluster,PHS4D,No Holding
2,19512.0,6.568499999999849e-05,0.47644434773145816,0.48267161410018555,10% Cluster,PHS4H,No Holding
3,8060.0,2.805999999999956e-05,0.2035324411561972,0.19938157081014224,10% Cluster,PHSInt,No Holding
4,21520.0,7.30999999999983e-05,0.5302288470605097,0.5323438466295609,10% Cluster,HTrad,No Holding
5,20100.0,6.877499999999842e-05,0.4988575780654797,0.4972170686456401,10% Cluster,RSTrad,No Holding
6,39502.0,0.00013639500000000223,0.9893373952779903,0.9771675943104514,10% Cluster,FPSTrad,No Holding
7,40417.0,0.0001384200000000022,1.0040256772930045,0.9998021026592455,10% Cluster,CS,No Holding
0,5606.0,1.9609999999999634e-05,1.0,1.0,Random Uniform Unclustered,Baseline,No Sanitation
1,4644.0,1.612999999999982e-05,0.8225395206527344,0.8283981448448091,Random Uniform Unclustered,PHS4D,No Sanitation
2,5113.0,1.765499999999972e-05,0.9003059663437046,0.912058508740635,Random Uniform Unclustered,PHS4H,No Sanitation
3,4131.0,1.4414999999999782e-05,0.7350841407445207,0.7368890474491616,Random Uniform Unclustered,PHSInt,No Sanitation
4,5165.0,1.7939999999999706e-05,0.9148393676695584,0.9213342846949697,Random Uniform Unclustered,HTrad,No Sanitation
5,5171.0,1.813499999999969e-05,0.924783273839879,0.9224045665358545,Random Uniform Unclustered,RSTrad,No Sanitation
6,5914.0,2.028999999999959e-05,1.0346761856195803,1.0549411344987514,Random Uniform Unclustered,FPSTrad,No Sanitation
7,5586.0,1.947499999999962e-05,0.9931157572666998,0.9964323938637174,Random Uniform Unclustered,CS,No Sanitation
0,5576.0,1.937999999999969e-05,1.0,1.0,1% Cluster,Baseline,No Sanitation
1,5111.0,1.7619999999999764e-05,0.9091847265221902,0.9166068866571019,1% Cluster,PHS4D,No Sanitation
2,5175.0,1.8139999999999694e-05,0.9360165118679042,0.9280846484935438,1% Cluster,PHS4H,No Sanitation
3,4311.0,1.4934999999999812e-05,0.7706398348813236,0.7731348637015782,1% Cluster,PHSInt,No Sanitation
4,5327.0,1.8344999999999696e-05,0.9465944272445815,0.9553443328550932,1% Cluster,HTrad,No Sanitation
5,4876.0,1.7094999999999734e-05,0.8820949432404545,0.8744619799139168,1% Cluster,RSTrad,No Sanitation
6,5675.0,1.961999999999965e-05,1.0123839009287907,1.0177546628407461,1% Cluster,FPSTrad,No Sanitation
7,5373.0,1.8669999999999735e-05,0.9633642930856571,0.9635939741750359,1% Cluster,CS,No Sanitation
0,5668.0,1.965999999999967e-05,1.0,1.0,10% Cluster,Baseline,No Sanitation
1,4717.0,1.6524999999999805e-05,0.8405391658189258,0.8322159491884262,10% Cluster,PHS4D,No Sanitation
2,4994.0,1.7189999999999705e-05,0.8743641912512713,0.8810868031051518,10% Cluster,PHS4H,No Sanitation
3,4200.0,1.4664999999999801e-05,0.7459308240081408,0.7410021171489062,10% Cluster,PHSInt,No Sanitation
4,5202.0,1.8159999999999694e-05,0.9237029501525941,0.9177840508115738,10% Cluster,HTrad,No Sanitation
5,4981.0,1.7309999999999744e-05,0.8804679552390658,0.8787932251235003,10% Cluster,RSTrad,No Sanitation
6,5583.0,1.929999999999965e-05,0.9816887080366212,0.9850035285815102,10% Cluster,FPSTrad,No Sanitation
7,5754.0,1.994499999999965e-05,1.0144964394710063,1.0151729004940013,10% Cluster,CS,No Sanitation
0,6171.0,1.8269999999999705e-05,1.0,1.0,Random Uniform Unclustered,Baseline,No Precooling
1,5274.0,1.5164999999999859e-05,0.8300492610837495,0.8546426835196889,Random Uniform Unclustered,PHS4D,No Precooling
2,6108.0,1.7564999999999738e-05,0.9614121510673247,0.9897909577053962,Random Uniform Unclustered,PHS4H,No Precooling
3,4315.0,1.2569999999999864e-05,0.6880131362890021,0.6992383730351645,Random Uniform Unclustered,PHSInt,No Precooling
4,5731.0,1.7029999999999737e-05,0.9321291735084846,0.928698752228164,Random Uniform Unclustered,HTrad,No Precooling
5,5512.0,1.640999999999976e-05,0.8981937602627271,0.8932101766326366,Random Uniform Unclustered,RSTrad,No Precooling
6,6417.0,1.8514999999999713e-05,1.0134099616858245,1.039863879436072,Random Uniform Unclustered,FPSTrad,No Precooling
7,6436.0,1.893499999999966e-05,1.0363984674329483,1.0429427969534921,Random Uniform Unclustered,CS,No Precooling
0,6618.0,1.8604999999999708e-05,1.0,1.0,1% Cluster,Baseline,No Precooling
1,5901.0,1.7009999999999758e-05,0.9142703574307995,0.8916591115140526,1% Cluster,PHS4D,No Precooling
2,5866.0,1.6949999999999707e-05,0.911045417898413,0.8863705046841946,1% Cluster,PHS4H,No Precooling
3,4499.0,1.2994999999999856e-05,0.698468153722121,0.6798126322151707,1% Cluster,PHSInt,No Precooling
4,5680.0,1.6774999999999737e-05,0.9016393442622951,0.8582653369598066,1% Cluster,HTrad,No Precooling
5,5753.0,1.6624999999999737e-05,0.8935769954313355,0.8692958597763675,1% Cluster,RSTrad,No Precooling
6,6486.0,1.8894999999999717e-05,1.0155872077398556,0.9800543970988214,1% Cluster,FPSTrad,No Precooling
7,6456.0,1.8899999999999694e-05,1.0158559527008864,0.9755213055303718,1% Cluster,CS,No Precooling
0,6482.0,1.8894999999999673e-05,1.0,1.0,10% Cluster,Baseline,No Precooling
1,5248.0,1.525499999999985e-05,0.8073564435035784,0.8096266584387535,10% Cluster,PHS4D,No Precooling
2,5781.0,1.7054999999999748e-05,0.9026197406721378,0.8918543659364394,10% Cluster,PHS4H,No Precooling
3,4648.0,1.311499999999983e-05,0.6940989679809504,0.7170626349892009,10% Cluster,PHSInt,No Precooling
4,6075.0,1.746999999999977e-05,0.9245832230748914,0.9372107374267201,10% Cluster,HTrad,No Precooling
5,5772.0,1.6709999999999733e-05,0.8843609420481621,0.8904659055846961,10% Cluster,RSTrad,No Precooling
6,6487.0,1.880999999999972e-05,0.9955014554114869,1.0007713668620797,10% Cluster,FPSTrad,No Precooling
7,6433.0,1.866499999999972e-05,0.9878274675840193,0.9924406047516199,10% Cluster,CS,No Precooling
