,Type,variable,value,ContS
49,PHS4D,No Precooling,0.2838,10% Cluster
50,PHS4H,No Precooling,0.0163,10% Cluster
51,PHSInt,No Precooling,0.0463,10% Cluster
52,HS,No Precooling,0.0115,10% Cluster
53,RS,No Precooling,0.0168,10% Cluster
54,FPS,No Precooling,0.0,10% Cluster
55,CS,No Precooling,0.0,10% Cluster
0,None,No Intervention,0.0,1% Cluster
1,PHS4D,No Intervention,0.1413,1% Cluster
2,PHS4H,No Intervention,0.0546,1% Cluster
3,PHSInt,No Intervention,0.1337,1% Cluster
4,HS,No Intervention,0.0475,1% Cluster
5,RS,No Intervention,0.0515,1% Cluster
6,FPS,No Intervention,0.0672,1% Cluster
7,CS,No Intervention,0.0387,1% Cluster
8,None,All Intervention,0.0,1% Cluster
9,PHS4D,All Intervention,0.1826,1% Cluster
10,PHS4H,All Intervention,0.0159,1% Cluster
11,PHSInt,All Intervention,0.0422,1% Cluster
12,HS,All Intervention,0.0127,1% Cluster
13,RS,All Intervention,0.0138,1% Cluster
14,FPS,All Intervention,0.0001,1% Cluster
15,CS,All Intervention,0.0001,1% Cluster
16,None,No Washing,0.0,1% Cluster
17,PHS4D,No Washing,0.1796,1% Cluster
18,PHS4H,No Washing,0.0161,1% Cluster
19,PHSInt,No Washing,0.0429,1% Cluster
20,HS,No Washing,0.0113,1% Cluster
21,RS,No Washing,0.0138,1% Cluster
22,FPS,No Washing,0.0015,1% Cluster
23,CS,No Washing,0.0002,1% Cluster
24,None,No Prewash,0.0,1% Cluster
25,PHS4D,No Prewash,0.174,1% Cluster
26,PHS4H,No Prewash,0.0127,1% Cluster
27,PHSInt,No Prewash,0.0433,1% Cluster
28,HS,No Prewash,0.0117,1% Cluster
29,RS,No Prewash,0.0146,1% Cluster
30,FPS,No Prewash,0.0015,1% Cluster
31,CS,No Prewash,0.0003,1% Cluster
32,None,No Holding,0.0,1% Cluster
33,PHS4D,No Holding,0.1394,1% Cluster
34,PHS4H,No Holding,0.0528,1% Cluster
35,PHSInt,No Holding,0.1364,1% Cluster
36,HS,No Holding,0.0487,1% Cluster
37,RS,No Holding,0.0523,1% Cluster
38,FPS,No Holding,0.0,1% Cluster
39,CS,No Holding,0.0,1% Cluster
40,None,No Sanitation,0.0,1% Cluster
41,PHS4D,No Sanitation,0.1809,1% Cluster
42,PHS4H,No Sanitation,0.0152,1% Cluster
43,PHSInt,No Sanitation,0.0424,1% Cluster
44,HS,No Sanitation,0.0132,1% Cluster
45,RS,No Sanitation,0.0118,1% Cluster
46,FPS,No Sanitation,0.0001,1% Cluster
47,CS,No Sanitation,0.0,1% Cluster
48,None,No Precooling,0.0,1% Cluster
49,PHS4D,No Precooling,0.1794,1% Cluster
50,PHS4H,No Precooling,0.016,1% Cluster
51,PHSInt,No Precooling,0.044,1% Cluster
52,HS,No Precooling,0.0101,1% Cluster
53,RS,No Precooling,0.0133,1% Cluster
54,FPS,No Precooling,0.0,1% Cluster
55,CS,No Precooling,0.0001,1% Cluster
